index	expected	HT	best	translated_min	self-guided_min	self-guided_detailed	feature-based_min	feature-based_detailed	expected	HT	best	translated_min	self-guided_min	self-guided_detailed	feature-based_min	feature-based_detailed
nmod	1.257	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$*	$\downarrow$*	1.562	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
nnargs	0.378	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.584	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
parataxis	0.173	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.059	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$*
pastv	0.238	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.966	$\uparrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
poss	0.006	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$*	$\uparrow$*	0.012	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\uparrow$*
ttr	0.958	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.964	$\uparrow$*	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$
acl	0.407	$\uparrow$	0	$\uparrow$	$\uparrow$	$\downarrow$*	$\downarrow$*	$\downarrow$*	0.372	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
advers	0.003	$\uparrow$*	0	$\uparrow$	$\uparrow$	$\uparrow$*	$\uparrow$	$\uparrow$	0.002	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$*
advmod_verb	0.157	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.117	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$*	$\downarrow$*
advqua	0.023	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.008	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$*
amod	1.288	$\uparrow$	0	$\uparrow$	$\uparrow$	$\downarrow$*	$\downarrow$*	$\downarrow$*	1.702	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
appos	0.163	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.06	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$*	$\uparrow$
aux	0.959	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.853	$\uparrow$	0	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$	$\downarrow$
aux:pass	0.24	$\uparrow$	0	$\uparrow$	$\uparrow$*	$\downarrow$*	$\uparrow$	$\uparrow$	0.248	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$*	$\downarrow$*	$\downarrow$*
ccomp	0.468	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.294	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$*	$\downarrow$	$\downarrow$
cconj	0.034	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.035	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
compound	0.082	$\uparrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	1.012	$\downarrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
conj	1.169	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	1.139	$\downarrow$*	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
cop	0.454	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.529	$\uparrow$	0	$\downarrow$	$\downarrow$*	$\downarrow$	$\downarrow$	$\downarrow$
demdets	0.012	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.017	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
dens	0.41	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\uparrow$*	$\downarrow$*	0.423	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$*	$\uparrow$	$\downarrow$*
deverb	0.016	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.025	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\uparrow$	$\uparrow$*
discourse	0.0	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	0.003	$\uparrow$	0	$\uparrow$*	$\uparrow$	$\uparrow$*	$\downarrow$*	$\uparrow$
epist	0.005	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.003	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$*	$\uparrow$
fixed	0.011	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	0.098	$\uparrow$	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$
flat	0.097	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$	0.076	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$
inf	0.008	$\downarrow$*	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$*	0.019	$\downarrow$	0	$\downarrow$*	$\downarrow$*	$\uparrow$*	$\downarrow$	$\downarrow$
mark	1.03	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$	$\downarrow$	1.32	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
mpred	0.6	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.048	$\uparrow$	0	$\uparrow$	$\uparrow$*	$\uparrow$*	$\downarrow$*	$\uparrow$*
nachfeld	0.362	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.095	$\uparrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*
negs	0.012	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.009	$\downarrow$	1	$\downarrow$	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$*
nn	0.152	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.199	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
nsubj	2.356	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	1.896	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
numcls	1.406	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	1.356	$\uparrow$*	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
nummod	0.107	$\uparrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	0.238	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
obj	1.273	$\uparrow$	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$	1.306	$\uparrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
obl	1.335	$\uparrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	1.304	$\uparrow$	1	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
obl_obj	0.097	$\uparrow$*	0	$\uparrow$*	$\uparrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	0.07	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$	$\downarrow$*	$\downarrow$*
ppron	0.057	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.046	$\uparrow$	1	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$*
prep	0.153	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.108	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
sconj	0.023	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.024	$\uparrow$	0	$\uparrow$	$\uparrow$*	$\downarrow$*	$\downarrow$	$\downarrow$
self	0.003	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$*	$\uparrow$	$\uparrow$	0.0	$\uparrow$	0	$\uparrow$*	$\uparrow$	$\uparrow$*	$\uparrow$*	$\uparrow$*
simple	0.273	$\downarrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.273	$\uparrow$*	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$
tempseq	0.011	$\downarrow$	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.004	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$*	$\downarrow$*
vo_noun	0.107	$\uparrow$*	0	$\uparrow$*	$\downarrow$*	$\uparrow$	$\uparrow$	$\uparrow$	0.629	$\uparrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$
vorfeld	0.467	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$*	$\downarrow$	0.434	$\uparrow$	0	$\uparrow$*	$\uparrow$	$\downarrow$*	$\downarrow$	$\downarrow$
vs_noun	0.044	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	0.0	$\downarrow$*	0	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*	$\downarrow$*
wdlen	5.6	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	4.742	$\downarrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$	$\uparrow$
xcomp	0.269	$\downarrow$*	0	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	$\downarrow$	0.369	$\uparrow$	0	$\uparrow$	$\uparrow$	$\uparrow$	$\downarrow$	$\downarrow$*
